productName,price,rating,specScore,features,brand,processor,storage,cores,ram,screen_size,Warranty,OS,graphics,storage_type,ram_type,resolution,graphics_category,resolution_category
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),24990,4.4,61,"'12th Gen Intel Core i3 1215U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Other,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50890,4.4,62,"'11th Gen Intel Core i5 11260H', 'Hexa Core, 12 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 2050', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,No ,8,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920 x 1080,NVIDIA,Standard HD (16:9)
Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),73989,4.45,70,"'12th Gen Intel Core i5 12500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB DDR5 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA GeForce RTX 3050', '17.3\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,12 ,16,17.3,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),64990,4.05,68,"'13th Gen Intel Core i9 13900H', '14 Cores (6P + 8E), 20 Threads', '32\u2009GB LPDDR5X RAM', '1\u2009TB SSD', 'Intel Integrated Iris Xe', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Infinix,Intel Core i9,1024,14 ,32,15.6,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR5X,1920 x 1080,Intel,Standard HD (16:9)
Asus Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),72990,4.65,64,"'13th Gen Intel Core i5 13500H', '12 Cores (4P + 8E), 16 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', '4\u2009GB NVIDIA Geforce RTX 3050', '14\u2009inches, 2880\u2009x\u20091800\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i5,512,12 ,16,14.0,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,2880 x 1800,NVIDIA,Quad HD or higher
Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),35990,4.35,55,"'13th Gen Intel Core i3 1315U', 'Hexa Core (2P + 4E), 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Integrated Intel UHD Graphics', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),36990,4.55,59,"'7th Gen AMD Ryzen 5 7530U', 'Hexa Core, 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'AMD Radeon AMD', '14\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",MSI,AMD Ryzen 5,512,No ,16,14.0,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),89990,4.15,47,"'Apple M2', 'Octa Core (4P + 4E)', '8\u2009GB DDR4 RAM', '256\u2009GB SSD', '8-Core GPU', '13.6\u2009inches, 2560\u2009x\u20091664\u2009pixels', 'Mac OS', '1 Year Warranty'",Apple,Apple M Series,256,No ,8,13.6,12,Mac ,8-Core GPU,SSD,DDR4,2560 x 1664,Other/Unknown,Quad HD or higher
HP 15-fd0111TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),53999,4.2,56,"'12th Gen Intel Core i5 1235U', '10 Cores (2P + 8E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated Iris Xe', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,10 ,16,15.6,12,Windows 11 ,intel integrated iris xe,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Lenovo LOQ 15ARP9 83JC0046IN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),98990,4.65,72,"'7th Gen AMD Ryzen 7 7435HS', 'Octa Core, 16 Threads', '24\u2009GB DDR5 RAM', '512\u2009GB SSD', '8\u2009GB NVIDIA GeForce RTX 4060', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,AMD Ryzen 7,512,No ,24,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,1920 x 1080,NVIDIA,Standard HD (16:9)
Lenovo IdeaPad Slim 3 83EQ005VIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),52890,4.55,57,"'12th Gen Intel Core i5 12450H', 'Octa Core (4P + 4E), 12 Threads', '16\u2009GB LPDDR5 RAM', '512\u2009GB SSD', 'Intel Integrated UHD Graphics', '14\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Lenovo,Intel Core i5,512,No ,16,14.0,12,Windows 11 ,intel integrated uhd,SSD,LPDDR5,1920 x 1080,Intel,Standard HD (16:9)
Asus Vivobook 16 X1605ZAC-MB740WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),64990,4.7,63,"'12th Gen Intel Core i7 12700H', '14 Cores (6P + 8E), 20 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Iris Xe Graphics', '16\u2009inches, 1920\u2009x\u20091200\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Asus,Intel Core i7,512,14 ,16,16.0,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920 x 1200,Intel,Widescreen (16:10)
HP 15s-eq2305AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),40790,4.3,59,"'5th Gen AMD Ryzen 5 5500U', 'Hexa Core, 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'AMD Radeon AMD', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920 x 1080,Other/Unknown,Standard HD (16:9)
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),50799,4.0,56,"'12th Gen Intel Core i5 1235U', '10 Cores (2P + 8E), 12 Threads', '16\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated Iris Xe', '15.6\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",HP,Intel Core i5,512,10 ,16,15.6,12,Windows 11 ,intel integrated iris xe,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),19999,4.2,50,"'10th Gen Intel Core i5 1035G4', 'Quad Core, 8 Threads', '8\u2009GB DDR4 RAM', '512\u2009GB SSD', 'Intel Integrated Iris', '14.1\u2009inches, 1920\u2009x\u20091080\u2009pixels', 'Windows 11 OS', '1 Year Warranty'",Other,Intel Core i5,512,No ,8,14.1,12,Windows 11 ,intel integrated,SSD,DDR4,1920 x 1080,Intel,Standard HD (16:9)
HP Chromebook x360 ‎14a-ca0505TU Laptop (Intel Celeron N4120/ 4GB/ 64GB eMMC/ Chrome OS),17990,4.05,41,"'Intel Celeron  N4120', 'Quad Core, 4 Threads', '4\u2009GB DDR4 RAM', '64\u2009GB Hard Disk', 'Intel Integrated UHD 600', '14\u2009inches, 1366\u2009x\u2009768\u2009pixels, Touch Screen', 'Chrome OS OS', '1 Year Warranty'",HP,Others,64,No ,4,14.0,12,Chrome  ,intel integrated uhd,hard disk,DDR4,1366 x 768,Intel,Widescreen or Custom
